,precision,recall,f1-score,support
0,0.9637055466120299,0.9531874240055584,0.9584176284803586,34542.0
1,0.9253359191023688,0.9417293233082706,0.9334606516524211,21280.0
accuracy,0.948819461860915,0.948819461860915,0.948819461860915,0.948819461860915
macro avg,0.9445207328571994,0.9474583736569145,0.9459391400663899,55822.0
weighted avg,0.9490785953489869,0.948819461860915,0.9489037367011585,55822.0
